2022,,,,,,,,,,,,
,,,,,,,,,,,,
Daerah,Jumlah Bencana Banjir,,Daerah,Jumlah Rusak Berat,Jumlah Rusak Sedang,Jumlah rumah rusak ringan,Jumlah rumah terendam,,Daerah,Korban Meninggal,Korban Luka,Korban Terdampak dan Mengungsi
Sigi,8 - 11,,Sigi,0 - 17,0 - 33,0 - 206,50 - 668,,Sigi,0 - 3,0 - 0,1 - 3916
Tojo Una Una,1 - 5,,Tojo Una Una,0 - 6,0 - 0,0 - 0,2 - 648,,Tojo Una Una,0 - 1,0 - 0,0 - 324
Toli Toli,2 - 10,,Toli Toli,0 - 13,0 - 0,0 - 17,59 - 2584,,Toli Toli,0 - 0,0 - 0,0 - 13044
,,,,,,,,,,,,
,,,,,,,,,,,,
Daerah,Jumlah Bencana Banjir,,Kabupaten/Kota, Rumah Rusak Berat, Rumah Rusak Sedang ,Rumah Rusak Ringan ,Rumah Terendam ,,Kabupaten/Kota, Korban  Meninggal dan Hilang, Korban Luka luka, Korban Terdampak dan Mengungsi
Banggai ,26,,Banggai,52,54,141,1146,,Banggai,1,0,3631
Banggai Kepulauan,13,,Banggai Kepulauan,0,0,0,123,,Banggai Kepulauan,0,0,191
Banggai Laut,3,,Banggai Laut,0,0,0,740,,Banggai Laut,0,0,4
Buol,14,,Buol,8,7,7,3180,,Buol,1,0,16603
Donggala,19,,Donggala,7,5,1,2033,,Donggala,0,0,5362
Kota Palu,12,,Kota Palu,0,0,0,1869,,Kota Palu,0,0,6194
Morowali,17,,Morowali,0,7,16,868,,Morowali,0,1,700
Morowali Utrara,10,,Morowali Utara,0,0,254,239,,Morowali Utara,0,0,11537
Parigi Moutong,28,,Parigi Moutong,24,12,80,2230,,Parigi Moutong,13,0,17598
Poso,34,,Poso,3,4,150,2149,,Poso,0,0,5534
Sigi,27,,Sigi,25,35,206,1006,,Sigi,3,0,4146
Tojo Una Una,9,,Tojo Una Una,6,0,0,723,,Tojo Una Una,1,0,335
Toli Toli,15,,Toli Toli,15,0,17,2770,,Toli Toli,0,0,13640
